Date,Establishment,Total,Tip,GrubHub,Time Pay,Mileage Pay,Miles,Bonus,Accepted at,Canceled,AWS Difficulty?
7/14/2021,Nudy's,6.98,3.10,3.88,2.73,1.15,5.00,0.00,12:43:00 PM,,
7/14/2021,Wawa,9.06,4.45,4.61,3.12,1.49,6.48,0.00,12:05:00 PM,,
7/14/2021,Peter Clark,7.84,4.81,3.03,2.51,0.52,2.26,0.00,12:05:00 PM,,
7/14/2021,Jersey Mike's,6.66,2.75,3.91,2.75,0.83,3.61,0.00,11:20:00 PM,,
7/14/2021,Los Sabores,8.86,6.67,2.19,2.00,0.19,0.83,0.00,11:20:00 PM,,
7/14/2021,Wasabi2,8.42,4.59,3.83,2.66,1.17,5.09,0.00,11:01:00 AM,,
7/13/2021,Wayback,12.63,8.54,4.09,2.81,1.28,5.57,0.00,7:56:00 PM,,
7/13/2021,Qdoba,10.68,5.73,4.95,3.48,1.47,5.73,0.00,7:33:00 PM,,
7/13/2021,China Palace,8.45,3.49,4.96,3.27,1.69,7.35,0.00,7:14:00 PM,,
7/13/2021,Wawa,8.86,3.74,5.12,3.53,1.59,6.91,0.00,6:19:00 PM,,
7/13/2021,Bon Bon,7.25,5.25,2.00,0.26,0.09,0.39,0.00,6:19:00 PM,,
7/13/2021,Bon Bon,6.80,3.80,3.00,2.64,0.36,1.57,0.00,6:19:00 PM,,
7/13/2021,Sterling Pig,15.96,12.39,3.57,2.86,0.71,3.09,0.00,5:39:00 PM,,
7/13/2021,El Limon,8.86,4.13,4.73,2.90,1.08,4.70,0.00,5:18:00 PM,,
7/13/2021,Tsaocaa,9.77,4.13,5.64,4.29,1.35,5.87,0.00,4:51:00 PM,,
7/13/2021,Chipotle,13.40,8.78,4.62,3.48,1.14,4.96,0.00,4:29:00 PM,,
7/11/2021,Wawa,8.59,3.00,5.59,3.35,2.24,9.74,0.00,6:17:00 PM,,
7/11/2021,Enzo's,12.78,4.93,7.85,2.07,0.78,3.39,5.00,6:17:00 PM,,Yes
7/11/2021,Dairy Queen,6.12,3.12,3.00,2.51,0.49,2.13,0.00,5:40:00 PM,,
7/11/2021,Pica's,9.18,6.18,3.00,2.29,0.71,3.09,0.00,5:28:00 PM,,
7/11/2021,Fusion,14.39,8.61,5.78,4.18,1.60,6.96,0.00,5:08:00 PM,,
7/11/2021,Bonchon,13.14,7.27,5.87,4.18,1.63,7.09,0.00,4:23:00 PM,,
7/11/2021,Qdoba,7.09,2.00,5.09,3.31,1.78,7.74,0.00,4:03:00 PM,,
7/11/2021,China Palace,15.97,9.45,6.52,4.09,2.43,10.57,0.00,3:33:00 PM,,
7/11/2021,Nudy's,11.09,7.00,4.09,3.35,0.74,3.22,0.00,12:33:00 PM,,Yes
7/11/2021,Saladworks,12.17,2.50,9.67,4.36,2.80,12.17,2.51,11:59:00 AM,,
7/11/2021,Country Bagel,6.78,3.12,3.66,2.73,0.93,4.04,0.00,11:36:00 AM,,
7/9/2021,Wawa,8.43,3.98,4.45,3.04,1.41,6.13,0.00,12:59:00 PM,,
7/9/2021,Chipotle,9.00,4.04,4.96,2.91,1.79,7.78,0.26,12:15:00 PM,,
7/9/2021,Panera,8.48,4.21,4.27,2.77,1.50,6.52,0.00,11:59:00 AM,,
7/9/2021,Nudy's,9.00,4.10,4.90,2.92,1.76,7.65,0.22,11:32:00 AM,,
7/9/2021,Country Bagel,7.31,3.71,3.60,2.49,1.11,4.83,0.00,11:12:00 AM,,
7/8/2021,Enzo's,9.12,7.00,2.12,1.24,0.88,3.83,0.00,6:52:00 PM,,
7/8/2021,Enzo's,12.27,7.72,4.55,3.30,1.25,5.43,0.00,6:52:00 PM,,
7/8/2021,Wawa,7.84,3.58,4.26,2.84,1.42,6.17,0.00,6:28:00 PM,,
7/8/2021,Baan Thai,12.17,8.38,3.79,3.09,0.70,3.04,0.00,5:58:00 PM,,
7/8/2021,Los Sabores,8.17,3.12,5.05,3.20,1.85,8.04,0.00,5:35:00 PM,,
7/8/2021,Anthony's,13.56,7.97,5.59,4.34,1.25,5.43,0.00,5:09:00 PM,,
7/8/2021,Miss Winnie's,9.09,2.00,7.09,3.97,2.06,8.96,1.06,4:37:00 PM,,
7/8/2021,Peter Clark,10.48,6.94,3.54,2.54,1.00,4.35,0.00,1:28:00 PM,,
7/8/2021,Miss Winnie's,7.02,3.86,3.16,2.70,0.46,2.00,0.00,1:19:00 PM,,
7/8/2021,Wawa,5.55,2.55,3.00,2.70,0.30,1.30,0.00,1:09:00 PM,,
7/8/2021,Jaco,6.63,3.36,3.27,2.88,0.39,1.70,0.00,12:13:00 PM,,
7/8/2021,Jaco,6.59,3.93,2.66,1.66,1.00,4.35,0.00,12:13:00 PM,,
7/8/2021,Bon Bon,8.00,5.00,3.00,2.68,0.32,1.39,0.00,11:35:00 AM,,
7/8/2021,Miss Winnie's,7.79,4.79,3.00,2.69,0.31,1.35,0.00,11:22:00 AM,,
7/8/2021,Dunkin,1.26,0.00,1.26,1.15,0.11,0.48,0.00,11:06:00 AM,,
7/8/2021,Roots,10.46,6.76,3.70,3.27,0.43,1.87,0.00,10:38:00 AM,,
7/7/2021,El Limon,10.17,3.73,6.44,4.11,2.33,10.13,0.00,12:47:00 PM,,
7/7/2021,Boston Market,13.19,7.12,6.07,4.12,1.95,8.48,0.00,12:27:00 PM,,
7/7/2021,McDonald's,11.11,8.00,3.11,2.37,0.74,3.22,0.00,12:04:00 PM,,
7/7/2021,Bonchon,6.90,3.90,3.00,2.61,0.39,1.70,0.00,11:53:00 AM,,
7/7/2021,WC Diner,8.90,5.44,3.46,3.10,0.36,1.57,0.00,11:12:00 AM,,
7/6/2021,China Palace,8.97,4.00,4.97,3.47,1.50,6.52,0.00,8:10:00 PM,,
7/6/2021,Baan Thai,6.00,3.00,3.00,2.67,0.33,1.43,0.00,8:00:00 PM,,
7/6/2021,Morelos,7.66,4.37,3.29,2.53,0.76,3.30,0.00,7:43:00 PM,,
7/6/2021,Enzo's,12.60,4.89,7.71,4.90,2.81,12.22,0.00,6:52:00 PM,,
7/6/2021,Enzo's,18.23,10.88,7.35,4.71,2.81,11.48,0.00,6:12:00 PM,,
7/4/2021,McDonald's,11.34,3.99,7.35,2.51,1.60,6.96,3.24,12:43:00 PM,,
7/4/2021,sweetFrog,11.11,5.00,6.11,2.93,2.18,9.48,1.00,12:30:00 PM,,
7/3/2021,Applebee's,10.47,7.16,3.31,2.53,0.78,3.39,0.00,4:07:00 PM,,
7/3/2021,Burger King,8.73,5.00,3.73,2.64,1.09,4.74,0.00,3:53:00 PM,,
7/3/2021,Rai Rai,12.60,7.66,4.94,4.03,0.91,3.96,0.00,3:38:00 PM,,
7/3/2021,McDonald's,6.49,3.49,3.00,2.20,0.80,3.48,0.00,3:11:00 PM,,
7/3/2021,Panera,20.25,16.12,4.13,3.05,1.08,4.70,0.00,3:02:00 PM,,
7/3/2021,El Limon,9.55,2.68,6.87,3.94,2.60,11.30,0.33,2:25:00 PM,,
7/3/2021,Saucey,5.52,2.50,3.02,2.76,0.26,1.13,0.00,1:51:00 PM,,
7/3/2021,El Limon,7.04,3.00,4.04,3.56,0.48,2.09,0.00,1:17:00 PM,,
7/3/2021,Los Sabores,8.45,5.13,3.32,3.03,0.29,1.26,0.00,12:47:00 PM,,
7/3/2021,Dunkin,6.29,2.00,4.29,2.58,0.71,3.09,1.00,12:13:00 PM,Canceled,
7/2/2021,Brother's,10.49,6.36,4.13,1.97,1.18,5.13,0.98,6:56:00 PM,,
7/2/2021,Wasabi2,14.72,10.17,4.55,3.74,0.81,3.52,0.00,6:42:00 PM,,
7/2/2021,El Limon,22.55,15.61,6.94,4.95,1.99,8.65,0.00,5:48:00 PM,,
7/2/2021,Enzo's,6.00,4.00,2.00,1.43,0.57,2.48,0.00,5:09:00 PM,,
7/2/2021,Enzo's,12.06,7.00,5.06,3.29,1.77,7.70,0.00,5:09:00 PM,,
7/2/2021,El Limon,19.49,14.31,5.18,3.47,1.71,7.43,0.00,4:33:00 PM,,
7/2/2021,Baan Thai,8.89,4.48,4.41,3.03,1.38,6.00,0.00,4:03:00 PM,,
7/2/2021,Meatball U,8.18,5.18,3.00,2.76,0.24,1.04,0.00,1:39:00 PM,,
7/2/2021,Jaco,8.00,5.00,3.00,2.87,0.13,0.57,0.00,1:24:00 PM,,
7/2/2021,Country Bagel,5.82,2.82,3.00,2.38,0.62,2.70,0.00,12:55:00 PM,,
7/2/2021,Wawa,5.37,2.00,3.37,2.95,0.42,1.83,0.00,12:24:00 PM,,
7/2/2021,Shere E,11.14,3.18,7.96,3.55,2.53,11.00,1.88,11:31:00 AM,,
7/1/2021,Wayback,12.72,5.40,7.32,4.40,2.92,12.70,0.00,7:26:00 PM,,
7/1/2021,Delco's,17.36,5.00,12.36,5.42,2.14,9.30,4.80,6:35:00 PM,,
7/1/2021,Baan Thai,11.93,7.63,4.30,3.36,0.94,4.09,0.00,6:15:00 PM,,
7/1/2021,Chipotle,15.40,11.15,4.25,3.38,0.87,3.78,0.00,6:01:00 PM,,
7/1/2021,China Palace,11.45,8.00,3.45,2.66,0.79,3.43,0.00,5:52:00 PM,,
7/1/2021,Rai Rai,6.42,4.00,2.42,2.34,0.08,0.35,0.00,5:26:00 PM,,
7/1/2021,Bon Bon,6.89,3.85,3.04,2.42,0.44,1.91,0.18,5:26:00 PM,,
7/1/2021,Qdoba,8.20,2.65,5.55,2.94,1.21,5.26,1.40,5:00:00 PM,,
7/1/2021,Pica's,10.37,6.18,4.19,2.93,1.26,5.48,0.00,4:33:00 PM,,
7/1/2021,Chipotle,12.13,7.14,4.99,3.31,1.68,7.30,0.00,4:15:00 PM,,
7/1/2021,Indian Hut,11.79,5.92,5.87,4.18,1.69,7.35,0.00,12:41:00 PM,,
7/1/2021,Indian Hut,13.21,11.21,2.00,1.45,0.55,2.39,0.00,12:41:00 PM,,
7/1/2021,Saladworks,11.48,5.77,5.71,4.38,1.33,5.78,0.00,12:10:00 PM,,
7/1/2021,Honeygrow,13.81,5.81,8.00,4.49,3.51,15.26,0.00,11:19:00 AM,,
7/1/2021,Playa,11.52,5.25,6.27,4.59,1.68,7.30,0.00,9:57:00 AM,,
7/1/2021,Country Bagel,8.12,4.37,3.75,3.31,0.44,1.91,0.00,9:35:00 AM,,
6/30/2021,Burger King,7.42,3.54,3.88,2.26,0.62,2.70,1.00,12:49:00 PM,,
6/30/2021,Primo,8.41,3.13,5.28,4.20,1.08,4.70,0.00,12:29:00 PM,,
6/30/2021,Dunkin,4.52,1.00,3.52,2.58,0.94,4.09,0.00,12:03:00 PM,,
6/30/2021,Primo,7.38,3.00,4.38,3.16,1.22,5.30,0.00,11:48:00 AM,,
6/27/2021,McDonald's,11.23,8.22,3.01,2.56,0.45,1.96,0.00,8:01:00 PM,,
6/27/2021,Mister Wok,15.10,4.07,11.03,4.05,1.98,8.61,5.00,7:38:00 PM,,
6/27/2021,El Limon,12.72,7.65,5.07,3.81,1.26,5.48,0.00,7:16:00 PM,,
6/27/2021,Fiorello's,19.17,15.00,4.17,3.46,0.71,3.09,0.00,6:59:00 PM,,
6/27/2021,Wawa,7.25,4.25,3.00,2.72,0.28,1.22,0.00,6:44:00 PM,,
6/27/2021,McDonald's,7.26,3.91,3.35,2.43,0.76,3.30,0.16,6:11:00 PM,,
6/27/2021,Qdoba,7.93,2.00,5.93,2.92,0.94,4.09,2.07,5:59:00 PM,,
6/27/2021,Pica's,14.73,2.00,12.73,3.69,1.99,8.65,7.05,5:28:00 PM,,
6/27/2021,Wasabi2,14.78,5.00,9.78,4.26,2.46,10.70,3.06,5:07:00 PM,,
6/27/2021,Tsunami,11.83,5.43,6.40,3.58,1.82,7.91,1.00,4:22:00 PM,,
6/27/2021,El Limon,11.83,5.00,6.83,3.73,2.10,9.13,1.00,4:07:00 PM,,
6/27/2021,Applebee's,8.77,3.30,5.47,3.68,1.79,7.78,0.00,3:51:00 PM,,
6/27/2021,Sterling Pig,13.87,7.26,6.61,4.31,2.30,10.00,0.00,3:19:00 PM,,
6/27/2021,sweetFrog,11.03,5.00,6.03,2.72,2.31,10.04,1.00,2:58:00 PM,,
6/25/2021,Tsaocaa,12.28,1.00,11.28,2.00,0.21,0.91,9.07,7:32:00 PM,,
6/25/2021,Teikoku,12.28,5.00,7.28,4.60,2.68,11.65,0.00,7:06:00 PM,,
6/25/2021,Papa John's,8.26,5.21,3.05,2.27,0.78,3.39,0.00,6:14:00 PM,,
6/25/2021,Rai Rai,18.62,8.62,10.00,2.92,1.08,4.70,6.00,6:14:00 PM,,
6/25/2021,China Palace,7.73,2.00,5.73,2.88,0.81,3.52,2.04,6:03:00 PM,,
6/25/2021,Bon Bon,11.55,4.94,6.61,2.94,0.89,3.87,2.78,5:32:00 PM,,
6/25/2021,Farm and Crave,8.94,2.93,6.01,2.81,1.06,4.61,2.14,5:32:00 PM,,
6/25/2021,Bella,1.00,0.00,1.00,0.72,0.28,1.22,0.00,5:16:00 PM,Canceled,
6/25/2021,Pho,8.43,4.51,3.92,2.95,0.97,4.22,0.00,4:59:00 PM,,
6/25/2021,Los Sabores,9.97,5.93,4.04,3.26,0.78,3.39,0.00,4:38:00 PM,,
6/25/2021,El Limon,17.94,9.32,8.62,4.65,2.97,12.91,1.00,4:04:00 PM,,
6/25/2021,Wawa,9.36,5.00,4.36,2.82,1.54,6.70,0.00,3:49:00 PM,,
6/25/2021,Wawa,6.28,3.78,2.50,2.16,0.34,1.48,0.00,12:36:00 PM,,
6/25/2021,KFC,8.87,3.39,5.48,3.12,1.36,5.91,1.00,12:36:00 PM,,
6/25/2021,Qdoba,10.88,8.58,2.30,1.58,0.72,3.13,0.00,11:53:00 AM,,
6/25/2021,Qdoba,7.20,3.59,3.61,2.60,1.01,4.39,0.00,11:53:00 AM,,
6/25/2021,Los Sabores,13.21,9.54,3.67,2.70,0.97,4.22,0.00,11:19:00 AM,,
6/25/2021,Market Street Grill,7.73,2.96,4.77,4.06,0.71,3.09,0.00,11:03:00 AM,,
6/24/2021,China Palace,8.49,3.05,5.44,3.34,1.12,4.87,0.98,7:09:00 PM,,
6/24/2021,Fiorello's,13.43,9.66,3.77,3.16,0.61,2.65,0.00,6:53:00 PM,,
6/24/2021,Pita,9.24,4.98,4.26,3.03,1.23,5.35,0.00,6:35:00 PM,,
6/24/2021,El Limon,6.00,4.00,2.00,1.70,0.30,1.31,0.00,5:58:00 PM,,
6/24/2021,El Limon,11.84,4.00,7.84,4.79,3.05,13.26,0.00,5:58:00 PM,,
6/24/2021,Enzo's,13.60,6.87,6.73,4.00,2.73,11.87,0.00,5:20:00 PM,,
6/24/2021,Chipotle,5.22,0.00,5.22,3.97,1.25,5.43,0.00,4:48:00 PM,,
6/24/2021,Panera,15.00,10.69,4.31,3.47,0.84,3.65,0.00,4:09:00 PM,,
6/24/2021,Wawa,7.75,3.68,4.07,2.64,1.43,6.22,0.00,1:28:00 PM,,
6/24/2021,McDonald's,6.92,3.38,3.54,2.85,0.69,3.00,0.00,1:13:00 PM,,
6/24/2021,Tropical,12.11,4.22,7.89,6.03,1.86,8.09,0.00,12:34:00 PM,,
6/24/2021,Dunkin,9.21,4.00,5.21,3.62,1.59,6.91,0.00,12:04:00 PM,,
6/24/2021,Bon Bon,9.04,4.48,4.56,3.22,1.34,5.83,0.00,11:34:00 AM,,
6/23/2021,Jaco,10.98,7.98,3.00,2.63,0.37,1.61,0.00,12:35:00 PM,,
6/23/2021,Primo,5.49,3.49,2.00,1.72,0.28,1.22,0.00,12:16:00 PM,,
6/23/2021,Primo,10.73,5.48,5.25,3.54,1.71,7.43,0.00,12:16:00 PM,,
6/23/2021,Jaco,9.31,5.00,4.31,3.09,1.22,5.30,0.00,11:39:00 AM,,
6/23/2021,Capriotti's,18.83,15.83,3.00,2.51,0.49,2.13,0.00,11:32:00 AM,,
6/23/2021,Jersey Mike's,6.11,3.11,3.00,2.64,0.36,1.57,0.00,11:11:00 AM,,
6/23/2021,Market Street Grill,6.27,2.82,3.45,2.00,0.45,1.96,1.00,11:03:00 AM,,
6/22/2021,Teikoku,18.33,9.09,9.24,2.65,1.59,6.91,5.00,6:52:00 PM,,
6/22/2021,China Palace,8.00,5.00,3.00,2.37,0.63,2.74,0.00,6:40:00 PM,,
6/22/2021,Wayback,8.16,3.71,4.45,2.96,1.19,5.17,0.30,6:28:00 PM,,
6/22/2021,Enzo's,11.74,5.95,5.79,3.83,1.96,8.52,0.00,6:09:00 PM,,
6/22/2021,Pho,4.90,2.90,2.00,1.00,0.00,0.00,1.00,5:50:00 PM,,
6/22/2021,Pho,5.59,2.00,3.59,2.83,0.76,3.30,0.00,5:50:00 PM,,
6/22/2021,Rai Rai,6.88,4.88,2.00,1.77,0.23,1.00,0.00,5:36:00 PM,,
6/22/2021,Rai Rai,7.00,4.00,3.00,2.63,0.37,1.61,0.00,5:36:00 PM,,
6/22/2021,Wawa,8.54,5.54,3.00,2.47,0.53,2.30,0.00,5:07:00 PM,,
6/22/2021,Panera,10.45,5.43,5.02,3.59,1.43,6.22,0.00,4:45:00 PM,,
6/22/2021,China Palace,14.45,9.00,5.45,4.03,1.42,6.17,0.00,4:23:00 PM,,
6/22/2021,Nick's,9.17,3.87,5.30,3.01,1.29,5.61,1.00,4:05:00 PM,,
6/22/2021,Wawa,5.48,2.00,3.48,2.38,1.10,4.78,0.00,2:37:00 PM,,
6/22/2021,Han,9.83,3.61,6.22,3.22,2.00,8.70,1.00,2:04:00 PM,,
6/22/2021,KFC,6.42,1.28,5.14,3.13,1.01,4.39,1.00,1:27:00 PM,,
6/22/2021,Capriotti's,7.60,3.51,4.09,3.49,0.60,2.61,0.00,1:12:00 PM,,
6/22/2021,Baan,7.00,4.00,3.00,2.57,0.43,1.87,0.00,12:59:00 PM,,
6/22/2021,Los Sabores,8.92,6.65,2.27,1.91,0.36,1.57,0.00,12:32:00 PM,,
6/22/2021,Wawa,6.98,3.31,3.67,2.55,1.12,4.87,0.00,12:32:00 PM,,
6/22/2021,La Tartine,9.50,5.37,4.13,2.56,0.57,2.48,1.00,12:00:00 PM,,
6/22/2021,Playa,9.80,4.00,5.80,4.12,1.68,7.30,0.00,12:00:00 PM,,
6/18/2021,Ruby's,13.06,5.21,7.85,3.38,2.07,9.00,2.40,2:17:00 PM,,
6/18/2021,Wasabi2,12.84,7.20,5.64,3.68,1.96,8.52,0.00,2:00:00 PM,,
6/18/2021,Los Sabores,6.75,3.00,3.75,3.20,1.16,2.39,0.00,1:42:00 PM,,
6/18/2021,Wayback,6.22,4.22,2.00,1.89,0.11,0.48,0.00,12:55:00 PM,,
6/18/2021,Tyga,8.04,2.70,5.34,3.18,1.16,5.04,0.00,12:55:00 PM,,
6/18/2021,Country Bagel,6.55,4.55,2.00,1.85,0.15,0.65,0.00,12:12:00 PM,,
6/18/2021,Country Bagel,9.38,5.00,4.38,3.65,0.73,3.17,0.00,12:12:00 PM,,
6/18/2021,Qdoba,9.58,5.00,4.58,3.42,1.16,5.04,0.00,11:43:00 AM,,
6/18/2021,Los Sabores,12.20,9.20,3.00,2.66,0.34,1.48,0.00,11:17:00 AM,,
6/18/2021,Country Bagel,7.16,3.44,3.72,3.31,0.41,1.78,0.00,11:07:00 AM,,
6/17/2021,Tsaocaa,9.95,4.57,5.38,3.76,1.62,7.04,0.00,3:27:00 PM,,
6/17/2021,Saucey,6.36,3.08,3.28,2.52,0.76,3.17,0.00,3:07:00 PM,,
6/17/2021,Sunny,8.22,5.15,3.07,2.34,0.73,3.17,0.00,2:49:00 PM,,
6/17/2021,Primo,6.83,2.18,4.65,3.59,1.06,4.61,0.00,11:59:00 AM,,
6/17/2021,Nudy's,7.36,2.74,4.62,3.77,0.85,3.70,0.00,11:35:00 AM,,
6/17/2021,Market Street Grill,13.67,8.00,5.67,4.33,1.34,5.83,0.00,10:29:00 AM,,
6/16/2021,Mi Pais,12.95,3.00,9.95,4.30,2.41,10.48,3.24,12:08:00 PM,,
6/16/2021,Primo,11.76,7.93,3.83,1.76,0.38,1.69,1.69,11:45:00 AM,,
6/16/2021,Qdoba,8.89,5.88,3.01,2.24,0.77,3.35,0.00,11:45:00 AM,,
6/16/2021,Qdoba,6.32,3.32,3.00,2.77,0.23,1.00,0.00,11:33:00 AM,,
6/16/2021,Country Bagel,6.33,2.95,3.38,2.52,0.86,3.74,0.00,11:20:00 AM,,
6/16/2021,Market Street Grill,6.25,4.25,2.00,1.95,0.05,0.22,0.00,11:05:00 AM,,
6/16/2021,Market Street Grill,7.41,3.38,4.03,3.43,0.60,2.61,0.00,11:05:00 AM,,
6/13/2021,Pica's,22.86,18.00,4.86,3.74,1.12,4.87,0.00,6:06:00 PM,,
6/13/2021,Pica's,11.08,7.29,3.79,3.32,0.47,2.04,0.00,5:54:00 PM,,
6/13/2021,Applebee's,10.26,5.27,4.99,2.57,0.86,3.74,1.56,5:36:00 PM,,
6/13/2021,Rai Rai,8.40,4.93,3.47,2.10,0.37,1.61,1.00,5:00:00 PM,,
6/13/2021,Iron Hill,16.73,14.00,2.73,2.24,0.49,2.13,0.00,5:00:00 PM,,
6/13/2021,Applebee's,8.34,5.00,3.34,2.74,0.60,2.61,0.00,4:48:00 PM,,
6/13/2021,El Limon,11.21,4.97,6.24,3.91,2.33,10.13,0.00,4:30:00 PM,,
6/13/2021,KFC,11.19,4.96,6.23,3.15,2.08,9.04,1.00,4:05:00 PM,,
6/13/2021,McDonald's,10.84,6.26,4.58,3.42,1.16,5.04,0.00,3:37:00 PM,,
6/13/2021,Playa,7.60,5.60,2.00,1.55,0.45,1.96,0.00,2:36:00 PM,,
6/13/2021,Playa,14.63,10.70,3.93,2.84,1.09,4.74,0.00,2:36:00 PM,,
6/13/2021,McDonald's,4.20,1.00,3.20,2.00,0.37,1.61,0.83,1:39:00 PM,,
6/13/2021,Iron hill,7.04,3.50,3.54,3.22,0.32,1.39,0.00,1:12:00 PM,,
6/13/2021,Country Bagel,4.89,2.89,2.00,1.75,0.25,1.09,0.00,12:48:00 PM,,
6/13/2021,Country Bagel,7.71,4.00,3.71,3.23,0.48,1.39,0.00,12:48:00 PM,,
6/13/2021,Roots,11.43,9.43,2.00,1.81,0.19,0.83,0.00,12:10:00 PM,,
6/13/2021,Jaco,9.64,4.63,5.01,3.71,1.30,5.65,0.00,12:10:00 PM,,
